club,handle,status,post_date,post_timestamp,likes,comments,reposts,collaborators,collab_count,caption,severity,post_url,,,,,,,,,,,,
African Students Association,asacolumbia,ok,,,,,,,0,"3 asacolumbia Adekunle Gold, Zinoleesky · Party No Dey Stop   Adekunle Gold, Zinoleesky · Party No Dey Stop   Follow MARK YOUR CALENDARS!!!! … more 58 masters.with.ria Follow Upset that I’m just now finding out abt this😭 #gradschool #academia #harvard #research #masters … more 1,126 37 asacolumbia Adekunle Gold, Zinoleesky · Party No Dey Stop   Adekunle Gold, Zinoleesky · Party No Dey Stop   Follow MARK YOUR CALENDARS!!!! … more 58 allegraiacovino Follow nap time before 7am 72 1 Shop now aquapho",0,https://www.instagram.com/reel/DQnCuFWDgDt/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2024-04-02,2024-04-02T13:54:41+00:00,65,0,0,"aca_fitnyc, asacolumbia",2,"guess who......  the bride and groom of our upcoming African wedding next Saturday (4/12)!!  reveal coming later this week!!! No comments yet. Start the conversation. 65 April 2, 2024 More posts from asacolumbia Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk Deutsch Ελληνικά English English (",0,https://www.instagram.com/p/C5QvIyFOLOQ/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2024-09-13,2024-09-13T16:52:45+00:00,58,0,0,"ijoyacu, asacolumbia",2,"Join ASA and ljoya this Saturday for the first black kickback of the year! We’ll be celebrating with music and good vibes on low steps. See you there! No comments yet. Start the conversation. 58 September 13, 2024 More posts from asacolumbia Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk Deutsch Ελληνικά E",0,https://www.instagram.com/p/C_3V4W_PBh_/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2024-03-31,2024-03-31T14:12:38+00:00,30,2,0,asacolumbia,1,"Join us on Monday for ASA’s Political Roundtable! Can’t wait to discuss with you all and our guest speakers. Light refreshments will be provided! elizabethaadeoye   105w ❤❤❤ Reply brieftenderlightfilm   105w 🔥🔥🔥 Reply 30 2 March 31, 2024 More posts from asacolumbia Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk D",0,https://www.instagram.com/p/C5LnmdJuKKE/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2026-02-08,2026-02-08T15:11:51+00:00,162,3,2,"asacolumbia, morningsideartexchange, columbiairc, columbiabhm, Intercultural, Resource, Center, Columbia, University, Undergrad, Student, Life",12,"Join us on Friday, February 20th, at the IRC (552 West 114th Street) from 5-8pm for our 2nd Annnual Black Culture Connect! The evening will feature a panel discussion with professors and community leaders, followed by musical performances and featured artworks by black artists from the community. Catered soul, Caribbean, and Africa",0,https://www.instagram.com/p/DUgFbtNjmBO/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,,,,,,,0,"3 masters.with.ria Follow Upset that I’m just now finding out abt this😭 #gradschool #academia #harvard #research #masters … more 1,135 37 danielleburnett__ 3 people Follow i’m pregnant & only allowed on chill rides so it worked out perfectly 😂 … more 340 5 katie_injector_np Follow Botox and my broke besties are always competing with each other 😆 … more 69 7 ourtablescompany Follow Not the audience I expected but we’ll take it! Literally the kindest man 🥹💛 Follow along for more very real kitchen",3,https://www.instagram.com/reel/CdCMFXelUj8/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2024-10-29,2024-10-29T21:50:29+00:00,90,0,0,"asacolumbia, Edited",2,"Celebrate Thanksgiving with twist! ASA’s African thanksgiving features a vibrant feast of flavors from across the continent.   From jollof rice to injera, savor traditional dishes and cultural performances that honor Africa’s rich diversity.   Join us for a joyous occasion of gratitude and community, embracing heritage and unity in every bite and beat.  RSVP HERE:   https://forms.gle/nuJkrA1QQoGAQXuR7  #asacolumbia #asa #africanstudentassociation #",0,https://www.instagram.com/p/DBruXP-OGOj/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2024-02-23,2024-02-23T03:20:31+00:00,20,0,0,asacolumbia,1,"Victim, suspect, or detective? 🕵️❔🤨 Join ASA for a fun night of mystery and mischief this Monday! No comments yet. Start the conversation. 20 February 22, 2024 More posts from asacolumbia Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk Deutsch Ελληνικά English English (UK) Español (España) Español فارسی Suomi Fran",0,https://www.instagram.com/p/C3rLj4PurcP/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2025-10-06,2025-10-06T01:55:14+00:00,35,2,1,"asacolumbia, Edited",2,"Join us *at 9 PM* in the Malcolm X Lounge for our ‘Would You Rather’ game night! Stop by 627 W 115th (past Schapiro and UPS). Get ready for tough hypotheticals and fun discussions. Would you rather: never eat jollof again or never eat couscous?! Decisions, decisions… yahney.marie   26w what time? 1 like Reply View all 1 replies 35 2 1 October 5, 2025 More posts from asacolumbia Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Loc",0,https://www.instagram.com/p/DPcYFlqDftn/,,,,,,,,,,,,
African Students Association,asacolumbia,ok,2024-09-07,2024-09-07T16:22:28+00:00,,,,"ayamarkets.co, asacolumbia",2,"make sure to check out @ayamarkets.co as a one-stop-shop for all your African essentials 🌍 #ayamarkets #app #deliveryservice #asa #africanstudentsassociation #explore No comments yet. Start the conversation. September 7, 2024 More posts from asacolumbia Meta About Blog Jobs Help API Privacy Consumer Health Privacy Terms Locations Instagram Lite Meta AI Threads Contact Uploading & Non-Users Meta Verified English Afrikaans العربية Čeština Dansk",0,https://www.instagram.com/p/C_n1pZrO_BS/,,,,,,,,,,,,
